Latitude,Longitude,O3_Total,CO_Total,CH4_Total
-10.7973306491349,-44.17785862466557,262.13654,1.439425e+18,3.7652595e+19
-10.734413517533019,-43.76083105484565,263.49896,1.4544524e+18,3.7846457e+19
-10.673583964682942,-43.36244020860923,262.3413,1.5085154e+18,3.8100453e+19
-10.61429873160898,-42.97845313468259,264.23108,1.422026e+18,3.7936766e+19
-10.556083635595476,-42.60519775759243,261.31754,1.4059323e+18,3.792751e+19
-10.498501626110672,-42.2393978180171,262.61694,1.4221698e+18,3.8064116e+19
-10.441136834510454,-41.878040289336276,268.36923,1.4741967e+18,3.804762e+19
-10.383302200155196,-41.51638284368346,273.59995,1.4789443e+18,3.711908e+19
-10.325425821139428,-41.15725745697395,270.5082,1.4310097e+18,3.6661858e+19
-10.26622860618223,-40.792176027288434,270.8707,1.4204747e+18,3.8019538e+19
-10.205526458258769,-40.420026543249655,268.84415,1.4187488e+18,3.7032466e+19
-10.142487120912659,-40.03553944049046,271.21652,1.471352e+18,3.8567987e+19
-10.077451620368382,-39.64118459096161,265.68826,1.4966313e+18,3.835065e+19
-10.00878253255824,-39.226711397990414,268.14722,1.4726184e+18,3.8399674e+19
-9.935952879558135,-38.78923497374198,271.21225,1.5193617e+18,3.872146e+19
-9.857922548609311,-38.32278582275058,268.34775,1.5621809e+18,3.941733e+19
-9.773375852376326,-37.819907510589424,269.21768,1.6050928e+18,3.964282e+19
-9.681085383995475,-37.274060223415105,268.8887,1.4980905e+18,3.9871524e+19
-9.577302273550378,-36.66363774271789,271.6585,1.5156189e+18,3.915833e+19
-9.46032013186615,-35.980453545597946,272.24628,1.5904985e+18,3.997643e+19
-9.325090493993544,-35.197085725480434,277.26474,1.6907185e+18,4.0488865e+19
-9.164706996700273,-34.27709535951019,277.35028,2.0137062e+18,4.0894453e+19
-11.009174279771344,-49.2929432676975,269.57452,1.9455045e+18,3.868919e+19
-10.886882866312817,-48.35173229324039,272.1977,2.0780917e+18,3.8887826e+19
-10.780617885875076,-47.55674497882919,268.77643,1.8209966e+18,3.840072e+19
-10.685870296992663,-46.86482209669114,269.12955,1.7277805e+18,3.800526e+19
-10.599974374979823,-46.25070868020447,268.47748,1.5774717e+18,3.731506e+19
-10.52100359697366,-45.696671451200615,267.72314,1.4571186e+18,3.6949506e+19
-10.44751214456602,-45.18975268538669,263.9214,1.5212815e+18,3.746841e+19
-10.378377269325506,-44.72015813519385,266.46237,1.4608522e+18,3.8280016e+19
-10.312700122083381,-44.28026225736325,265.23355,1.5919619e+18,3.7902176e+19
-10.249746245532009,-43.86397439569413,265.0299,1.5517918e+18,3.773817e+19
-10.188904744118819,-43.46628198075014,265.84552,1.4716878e+18,3.7544425e+19
-10.129346929334762,-43.08099003279267,264.8972,1.4903094e+18,3.8150648e+19
-10.071445564859491,-42.71034448314244,265.1097,1.4453236e+18,3.8094265e+19
-10.013915211700958,-42.34516387275753,258.5347,1.5330092e+18,3.7690405e+19
-9.9566209352509,-41.98441123325182,263.0292,1.4713946e+18,3.80247e+19
-9.898874440497128,-41.62335268398647,261.2844,1.4983874e+18,3.8159017e+19
-9.841105690979663,-41.26481497067376,265.29736,1.4225163e+18,3.771517e+19
-9.78203659633294,-40.90032419087184,268.49506,1.4364436e+18,3.763539e+19
-9.721187410988527,-40.52680551983586,270.61383,1.466386e+18,3.830331e+19
-9.658938153715484,-40.14691516220728,271.32706,1.4714636e+18,3.880748e+19
-9.593795917215507,-39.751148401505134,269.8958,1.4572575e+18,3.8541726e+19
-9.525369938841045,-39.33731166297409,266.461,1.4630922e+18,3.85971e+19
-9.45282239872266,-38.900497613339326,268.9158,1.5551993e+18,3.873281e+19
-9.375123628942328,-38.434743613606294,273.7117,1.5802357e+18,3.9529664e+19
-9.290968861857412,-37.932602642376324,271.1577,1.4867187e+18,3.9441175e+19
-9.198664826970356,-37.38454189302971,271.40027,1.4837349e+18,3.907169e+19
-9.095944929006265,-36.77797811614551,270.49457,1.5037632e+18,3.8197315e+19
-8.97904724754313,-36.091939789200225,269.31616,1.5007273e+18,3.8547914e+19
-8.84534704423038,-35.31341766156263,270.4764,1.6542469e+18,4.008924e+19
-8.68614065604143,-34.394622904398396,275.54657,2.1294764e+18,4.147824e+19
-10.526397628259058,-49.380779486381336,265.6482,1.9783757e+18,3.8359155e+19
-10.404022492128865,-48.446725464737604,268.45352,1.8090233e+18,3.9018637e+19
-10.297725230899813,-47.65709158257703,265.62018,1.7495154e+18,3.847528e+19
-10.202085582447015,-46.96261141305886,266.8859,1.7188007e+18,3.8680384e+19
-10.11590316529267,-46.34961991143222,264.35364,1.5770222e+18,3.7500634e+19
-10.036722373833342,-45.79657825408926,267.6616,1.6694931e+18,3.7906613e+19
-9.963077316314145,-45.29055694323247,266.72498,1.933564e+18,3.7699105e+19
-9.893832468538836,-44.8217823025027,269.76352,1.5344035e+18,3.803694e+19
-9.828082351285524,-44.3826439301862,269.58087,1.6086639e+18,3.8165592e+19
-9.76508384990858,-43.967064164372935,270.3432,1.8452764e+18,3.743293e+19
-9.704224413249671,-43.5700396993443,267.11368,1.4888136e+18,3.7452405e+19
-9.644954664962311,-43.187354071660444,264.72617,1.4527751e+18,3.76764e+19
-9.586797296616956,-42.81534887996385,270.62756,1.429234e+18,3.8367282e+19
-9.529309875491663,-42.45076047600229,270.29108,1.4407811e+18,3.8572697e+19
-9.472079237825055,-42.090585635194145,265.46353,1.5544302e+18,3.8028998e+19
-9.414415751005174,-41.73009857129329,270.34473,1.4879776e+18,3.8252792e+19
-9.357030388131085,-41.37400881134725,272.52472,1.5130466e+18,3.8600326e+19
-9.297802264545991,-41.00819405609839,266.39905,1.5331967e+18,3.770762e+19
-9.23739844374888,-40.63720604286068,273.29803,1.5341156e+18,3.866976e+19
-9.174709575519373,-40.25390399500231,269.75635,1.5026359e+18,3.894913e+19
-9.110078230602772,-39.86074888255656,268.438,1.5023286e+18,3.893777e+19
-9.041885600048353,-39.447518939990125,268.96072,1.4839461e+18,3.8771973e+19
-8.969614276739279,-39.01133487568642,268.32367,1.5051492e+18,3.909492e+19
